"property","value"
"version","1.1.16"
"build","1011602"
"fileFormat","1.18"
"deviceModel","SM-A226B"
"deviceBrand","samsung"
"deviceBoard","a22x"
"deviceManufacturer","samsung"
"deviceBaseOS","samsung/a22xnseea/a22x:13/TP1A.220624.014/A226BXXU7DWH4:user/release-keys"
"deviceCodename","REL"
"deviceRelease","13"
"depthFrontSensor","0"
"depthFrontResolution","null"
"depthFrontRate","null"
"depthBackSensor","0"
"depthBackResolution","null"
"depthBackRate","null"
"accelerometer Name","icm40607_acc"
"accelerometer Vendor","INVENSENSE"
"accelerometer Range","78.453606"
"accelerometer Resolution","0.0012"
"accelerometer MinDelay","2000"
"accelerometer MaxDelay","80000"
"accelerometer Power","0.001"
"accelerometer Version","1"
"linear_acceleration Name","LINEARACCEL"
"linear_acceleration Vendor","MTK"
"linear_acceleration Range","39.226803"
"linear_acceleration Resolution","0.0012"
"linear_acceleration MinDelay","5000"
"linear_acceleration MaxDelay","20000"
"linear_acceleration Power","0.001"
"linear_acceleration Version","1"
"gravity Name","GRAVITY"
"gravity Vendor","MTK"
"gravity Range","39.226803"
"gravity Resolution","0.0012"
"gravity MinDelay","5000"
"gravity MaxDelay","20000"
"gravity Power","0.001"
"gravity Version","1"
"gyroscope Name","icm40607_gyro"
"gyroscope Vendor","INVENSENSE"
"gyroscope Range","34.9063"
"gyroscope Resolution","0.0011"
"gyroscope MinDelay","2000"
"gyroscope MaxDelay","80000"
"gyroscope Power","0.001"
"gyroscope Version","1"
"magnetic_field Name","mmc5603"
"magnetic_field Vendor","MEMSIC"
"magnetic_field Range","4912.0503"
"magnetic_field Resolution","0.15"
"magnetic_field MinDelay","20000"
"magnetic_field MaxDelay","200000"
"magnetic_field Power","0.001"
"magnetic_field Version","1"
"pressure Name","null"
"pressure Vendor","null"
"pressure Range","null"
"pressure Resolution","null"
"pressure MinDelay","null"
"pressure MaxDelay","null"
"pressure Power","null"
"pressure Version","null"
"light Name","stk33562_l"
"light Vendor","SENSORTEK"
"light Range","65535.0"
"light Resolution","1.0"
"light MinDelay","0"
"light MaxDelay","1000000"
"light Power","0.001"
"light Version","1"
"proximity Name","stk33562_p"
"proximity Vendor","SENSORTEK"
"proximity Range","5.0"
"proximity Resolution","1.0"
"proximity MinDelay","0"
"proximity MaxDelay","1000000"
"proximity Power","0.001"
"proximity Version","1"
"temperature Name","null"
"temperature Vendor","null"
"temperature Range","null"
"temperature Resolution","null"
"temperature MinDelay","null"
"temperature MaxDelay","null"
"temperature Power","null"
"temperature Version","null"
"humidity Name","null"
"humidity Vendor","null"
"humidity Range","null"
"humidity Resolution","null"
"humidity MinDelay","null"
"humidity MaxDelay","null"
"humidity Power","null"
"humidity Version","null"
"attitude Name","ROTATION_VECTOR"
"attitude Vendor","MTK"
"attitude Range","1.0"
"attitude Resolution","5.9604645E-8"
"attitude MinDelay","5000"
"attitude MaxDelay","20000"
"attitude Power","0.001"
"attitude Version","1"
